t mart.s0 mart.sn aust.s0 aust.sn
2.751376e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.756378e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.761381e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.766383e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.771386e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.776388e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.781391e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.786393e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.791396e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.796398e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.801401e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.806403e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.811406e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.816408e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.821411e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.826413e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.831416e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.836418e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.841421e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.846423e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.851426e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.856428e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.861431e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.866433e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.871436e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.876438e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.881441e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.886443e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.891446e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.896448e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
