bainite_FoFo_375.log @ arthur-tud
2019-07-15T12:33:24

c0 = 3.855349e-02 (approx 0.86 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-BCC.TXT
      z0 = -1.16 um; zn = -1.16 um; n = 10
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-FCC.TXT
      z0 = -1.16 um; zn = -0.39 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-BCC.TXT
      z0 = -0.39 um; zn = -0.39 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-FCC.TXT
      z0 = -0.39 um; zn = 0.00 um; n = 100
int1: type_int = 3 (mobile.mmode)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)

 2820: t=0.141, cavg*=1.00037, r_fer1=0, r_aus1=0.000182081, r_fer2=0, r_aus2=0.000726835
 2840: t=0.142, cavg*=1.00036, r_fer1=0, r_aus1=0.000182183, r_fer2=0, r_aus2=0.000727256
 2860: t=0.143, cavg*=1.00036, r_fer1=0, r_aus1=0.000182285, r_fer2=0, r_aus2=0.000727676
 2880: t=0.144, cavg*=1.00036, r_fer1=0, r_aus1=0.000182386, r_fer2=0, r_aus2=0.000728095
 2900: t=0.145, cavg*=1.00036, r_fer1=0, r_aus1=0.000182487, r_fer2=0, r_aus2=0.000728512
 2920: t=0.146, cavg*=1.00036, r_fer1=0, r_aus1=0.000182588, r_fer2=0, r_aus2=0.000728927
 2940: t=0.147, cavg*=1.00036, r_fer1=0, r_aus1=0.000182688, r_fer2=0, r_aus2=0.000729342
 2960: t=0.148, cavg*=1.00036, r_fer1=0, r_aus1=0.000182788, r_fer2=0, r_aus2=0.000729755
 2980: t=0.149, cavg*=1.00036, r_fer1=0, r_aus1=0.000182888, r_fer2=0, r_aus2=0.000730166
 3000: t=0.150, cavg*=1.00036, r_fer1=0, r_aus1=0.000182988, r_fer2=0, r_aus2=0.000730576
 3020: t=0.151, cavg*=1.00036, r_fer1=0, r_aus1=0.000183087, r_fer2=0, r_aus2=0.000730985
 3040: t=0.152, cavg*=1.00036, r_fer1=0, r_aus1=0.000183185, r_fer2=0, r_aus2=0.000731392
 3060: t=0.153, cavg*=1.00036, r_fer1=0, r_aus1=0.000183284, r_fer2=0, r_aus2=0.000731799
 3080: t=0.154, cavg*=1.00036, r_fer1=0, r_aus1=0.000183382, r_fer2=0, r_aus2=0.000732203
 3100: t=0.155, cavg*=1.00036, r_fer1=0, r_aus1=0.00018348, r_fer2=0, r_aus2=0.000732607
 3120: t=0.156, cavg*=1.00036, r_fer1=0, r_aus1=0.000183577, r_fer2=0, r_aus2=0.000733009
 3140: t=0.157, cavg*=1.00036, r_fer1=0, r_aus1=0.000183674, r_fer2=0, r_aus2=0.00073341
 3160: t=0.158, cavg*=1.00036, r_fer1=0, r_aus1=0.000183771, r_fer2=0, r_aus2=0.00073381
 3180: t=0.159, cavg*=1.00036, r_fer1=0, r_aus1=0.000183867, r_fer2=0, r_aus2=0.000734209
 3200: t=0.160, cavg*=1.00035, r_fer1=0, r_aus1=0.000183964, r_fer2=0, r_aus2=0.000734606
 3220: t=0.161, cavg*=1.00035, r_fer1=0, r_aus1=0.00018406, r_fer2=0, r_aus2=0.000735002
 3240: t=0.162, cavg*=1.00035, r_fer1=0, r_aus1=0.000184155, r_fer2=0, r_aus2=0.000735397
 3260: t=0.163, cavg*=1.00035, r_fer1=0, r_aus1=0.000184251, r_fer2=0, r_aus2=0.000735791
 3280: t=0.164, cavg*=1.00035, r_fer1=0, r_aus1=0.000184346, r_fer2=0, r_aus2=0.000736184
 3300: t=0.165, cavg*=1.00035, r_fer1=0, r_aus1=0.00018444, r_fer2=0, r_aus2=0.000736575
 3320: t=0.166, cavg*=1.00035, r_fer1=0, r_aus1=0.000184535, r_fer2=0, r_aus2=0.000736966
 3340: t=0.167, cavg*=1.00035, r_fer1=0, r_aus1=0.000184629, r_fer2=0, r_aus2=0.000737355
 3360: t=0.168, cavg*=1.00035, r_fer1=0, r_aus1=0.000184723, r_fer2=0, r_aus2=0.000737743
 3380: t=0.169, cavg*=1.00035, r_fer1=0, r_aus1=0.000184817, r_fer2=0, r_aus2=0.00073813
 3400: t=0.170, cavg*=1.00035, r_fer1=0, r_aus1=0.00018491, r_fer2=0, r_aus2=0.000738516
 3420: t=0.171, cavg*=1.00035, r_fer1=0, r_aus1=0.000185004, r_fer2=0, r_aus2=0.0007389
 3440: t=0.172, cavg*=1.00035, r_fer1=0, r_aus1=0.000185098, r_fer2=0, r_aus2=0.000739283
 3460: t=0.173, cavg*=1.00035, r_fer1=0, r_aus1=0.000185191, r_fer2=0, r_aus2=0.000739665
 3480: t=0.174, cavg*=1.00035, r_fer1=0, r_aus1=0.000185284, r_fer2=0, r_aus2=0.000740048
 3500: t=0.175, cavg*=1.00035, r_fer1=0, r_aus1=0.000185376, r_fer2=0, r_aus2=0.00074043
 3520: t=0.176, cavg*=1.00035, r_fer1=0, r_aus1=0.000185468, r_fer2=0, r_aus2=0.000740809
 3540: t=0.177, cavg*=1.00034, r_fer1=0, r_aus1=0.00018556, r_fer2=0, r_aus2=0.000741188
 3560: t=0.178, cavg*=1.00034, r_fer1=0, r_aus1=0.000185651, r_fer2=0, r_aus2=0.000741565
 3580: t=0.179, cavg*=1.00034, r_fer1=0, r_aus1=0.000185742, r_fer2=0, r_aus2=0.000741941
 3600: t=0.180, cavg*=1.00034, r_fer1=0, r_aus1=0.000185833, r_fer2=0, r_aus2=0.000742316
 3620: t=0.181, cavg*=1.00034, r_fer1=0, r_aus1=0.000185923, r_fer2=0, r_aus2=0.00074269
 3640: t=0.182, cavg*=1.00034, r_fer1=0, r_aus1=0.000186013, r_fer2=0, r_aus2=0.000743063
 3660: t=0.183, cavg*=1.00034, r_fer1=0, r_aus1=0.000186103, r_fer2=0, r_aus2=0.000743435
