coupled_FoFo_375_mu23e3.log @ arthur-ltf
2018-06-21T02:36:26

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

 1840: t=0.092, cavg*=0.997144, r_mart=0.14594, r_aus1=0.00323313, r_fer1=0, r_aus2=0.00165319, r_fer2=0
 1860: t=0.093, cavg*=0.997126, r_mart=0.145939, r_aus1=0.00323361, r_fer1=0, r_aus2=0.00165789, r_fer2=0
 1880: t=0.094, cavg*=0.997109, r_mart=0.145938, r_aus1=0.00323409, r_fer1=0, r_aus2=0.00166258, r_fer2=0
 1900: t=0.095, cavg*=0.997091, r_mart=0.145937, r_aus1=0.00323457, r_fer1=0, r_aus2=0.00166725, r_fer2=0
 1920: t=0.096, cavg*=0.997074, r_mart=0.145936, r_aus1=0.00323505, r_fer1=0, r_aus2=0.00167189, r_fer2=0
 1940: t=0.097, cavg*=0.997057, r_mart=0.145936, r_aus1=0.00323553, r_fer1=0, r_aus2=0.0016765, r_fer2=0
 1960: t=0.098, cavg*=0.997041, r_mart=0.145935, r_aus1=0.00323601, r_fer1=0, r_aus2=0.00168108, r_fer2=0
 1980: t=0.099, cavg*=0.997024, r_mart=0.145934, r_aus1=0.00323648, r_fer1=0, r_aus2=0.00168565, r_fer2=0
 2000: t=0.100, cavg*=0.997008, r_mart=0.145933, r_aus1=0.00323695, r_fer1=0, r_aus2=0.0016902, r_fer2=0
 2020: t=0.101, cavg*=0.996991, r_mart=0.145933, r_aus1=0.00323742, r_fer1=0, r_aus2=0.00169473, r_fer2=0
 2040: t=0.102, cavg*=0.996975, r_mart=0.145932, r_aus1=0.00323789, r_fer1=0, r_aus2=0.00169924, r_fer2=0
 2060: t=0.103, cavg*=0.996959, r_mart=0.145931, r_aus1=0.00323836, r_fer1=0, r_aus2=0.00170373, r_fer2=0
 2080: t=0.104, cavg*=0.996944, r_mart=0.14593, r_aus1=0.00323883, r_fer1=0, r_aus2=0.00170821, r_fer2=0
 2100: t=0.105, cavg*=0.996928, r_mart=0.14593, r_aus1=0.00323929, r_fer1=0, r_aus2=0.00171266, r_fer2=0
 2120: t=0.106, cavg*=0.996913, r_mart=0.145929, r_aus1=0.00323976, r_fer1=0, r_aus2=0.00171709, r_fer2=0
 2140: t=0.107, cavg*=0.996898, r_mart=0.145928, r_aus1=0.00324022, r_fer1=0, r_aus2=0.0017215, r_fer2=0
 2160: t=0.108, cavg*=0.996882, r_mart=0.145928, r_aus1=0.00324068, r_fer1=0, r_aus2=0.00172589, r_fer2=0
 2180: t=0.109, cavg*=0.996868, r_mart=0.145927, r_aus1=0.00324114, r_fer1=0, r_aus2=0.00173026, r_fer2=0
 2200: t=0.110, cavg*=0.996853, r_mart=0.145926, r_aus1=0.0032416, r_fer1=0, r_aus2=0.00173462, r_fer2=0
 2220: t=0.111, cavg*=0.996838, r_mart=0.145926, r_aus1=0.00324206, r_fer1=0, r_aus2=0.00173895, r_fer2=0
 2240: t=0.112, cavg*=0.996824, r_mart=0.145925, r_aus1=0.00324251, r_fer1=0, r_aus2=0.00174326, r_fer2=0
 2260: t=0.113, cavg*=0.99681, r_mart=0.145924, r_aus1=0.00324297, r_fer1=0, r_aus2=0.00174756, r_fer2=0
 2280: t=0.114, cavg*=0.996795, r_mart=0.145924, r_aus1=0.00324342, r_fer1=0, r_aus2=0.00175183, r_fer2=0
 2300: t=0.115, cavg*=0.996782, r_mart=0.145923, r_aus1=0.00324387, r_fer1=0, r_aus2=0.00175608, r_fer2=0
 2320: t=0.116, cavg*=0.996768, r_mart=0.145923, r_aus1=0.00324432, r_fer1=0, r_aus2=0.00176031, r_fer2=0
 2340: t=0.117, cavg*=0.996754, r_mart=0.145922, r_aus1=0.00324477, r_fer1=0, r_aus2=0.00176452, r_fer2=0
 2360: t=0.118, cavg*=0.99674, r_mart=0.145922, r_aus1=0.00324522, r_fer1=0, r_aus2=0.0017687, r_fer2=0
 2380: t=0.119, cavg*=0.996727, r_mart=0.145921, r_aus1=0.00324567, r_fer1=0, r_aus2=0.00177286, r_fer2=0
 2400: t=0.120, cavg*=0.996714, r_mart=0.14592, r_aus1=0.00324611, r_fer1=0, r_aus2=0.001777, r_fer2=0
 2420: t=0.121, cavg*=0.996701, r_mart=0.14592, r_aus1=0.00324656, r_fer1=0, r_aus2=0.00178113, r_fer2=0
 2440: t=0.122, cavg*=0.996688, r_mart=0.145919, r_aus1=0.003247, r_fer1=0, r_aus2=0.00178523, r_fer2=0
 2460: t=0.123, cavg*=0.996675, r_mart=0.145919, r_aus1=0.00324744, r_fer1=0, r_aus2=0.00178932, r_fer2=0
 2480: t=0.124, cavg*=0.996662, r_mart=0.145918, r_aus1=0.00324788, r_fer1=0, r_aus2=0.00179338, r_fer2=0
 2500: t=0.125, cavg*=0.99665, r_mart=0.145918, r_aus1=0.00324832, r_fer1=0, r_aus2=0.00179743, r_fer2=0
 2520: t=0.126, cavg*=0.996637, r_mart=0.145917, r_aus1=0.00324876, r_fer1=0, r_aus2=0.00180146, r_fer2=0
 2540: t=0.127, cavg*=0.996625, r_mart=0.145917, r_aus1=0.00324919, r_fer1=0, r_aus2=0.00180546, r_fer2=0
 2560: t=0.128, cavg*=0.996613, r_mart=0.145917, r_aus1=0.00324963, r_fer1=0, r_aus2=0.00180945, r_fer2=0
 2580: t=0.129, cavg*=0.996601, r_mart=0.145916, r_aus1=0.00325006, r_fer1=0, r_aus2=0.00181342, r_fer2=0
 2600: t=0.130, cavg*=0.996589, r_mart=0.145916, r_aus1=0.00325049, r_fer1=0, r_aus2=0.00181738, r_fer2=0
 2620: t=0.131, cavg*=0.996577, r_mart=0.145915, r_aus1=0.00325093, r_fer1=0, r_aus2=0.00182131, r_fer2=0
 2640: t=0.132, cavg*=0.996565, r_mart=0.145915, r_aus1=0.00325136, r_fer1=0, r_aus2=0.00182522, r_fer2=0
 2660: t=0.133, cavg*=0.996554, r_mart=0.145914, r_aus1=0.00325178, r_fer1=0, r_aus2=0.00182912, r_fer2=0
 2680: t=0.134, cavg*=0.996542, r_mart=0.145914, r_aus1=0.00325221, r_fer1=0, r_aus2=0.00183299, r_fer2=0
 2700: t=0.135, cavg*=0.996531, r_mart=0.145914, r_aus1=0.00325264, r_fer1=0, r_aus2=0.00183685, r_fer2=0
 2720: t=0.136, cavg*=0.99652, r_mart=0.145913, r_aus1=0.00325307, r_fer1=0, r_aus2=0.00184069, r_fer2=0
 2740: t=0.137, cavg*=0.996509, r_mart=0.145913, r_aus1=0.00325349, r_fer1=0, r_aus2=0.00184451, r_fer2=0
 2760: t=0.138, cavg*=0.996498, r_mart=0.145912, r_aus1=0.00325391, r_fer1=0, r_aus2=0.00184832, r_fer2=0
 2780: t=0.139, cavg*=0.996487, r_mart=0.145912, r_aus1=0.00325434, r_fer1=0, r_aus2=0.0018521, r_fer2=0
 2800: t=0.140, cavg*=0.996476, r_mart=0.145912, r_aus1=0.00325476, r_fer1=0, r_aus2=0.00185588, r_fer2=0
 2820: t=0.141, cavg*=0.996465, r_mart=0.145911, r_aus1=0.00325518, r_fer1=0, r_aus2=0.00185963, r_fer2=0
 2840: t=0.142, cavg*=0.996455, r_mart=0.145911, r_aus1=0.0032556, r_fer1=0, r_aus2=0.00186337, r_fer2=0
 2860: t=0.143, cavg*=0.996444, r_mart=0.145911, r_aus1=0.00325601, r_fer1=0, r_aus2=0.00186709, r_fer2=0
 2880: t=0.144, cavg*=0.996434, r_mart=0.14591, r_aus1=0.00325643, r_fer1=0, r_aus2=0.00187079, r_fer2=0
 2900: t=0.145, cavg*=0.996424, r_mart=0.14591, r_aus1=0.00325685, r_fer1=0, r_aus2=0.00187447, r_fer2=0
 2920: t=0.146, cavg*=0.996414, r_mart=0.14591, r_aus1=0.00325726, r_fer1=0, r_aus2=0.00187814, r_fer2=0
 2940: t=0.147, cavg*=0.996404, r_mart=0.145909, r_aus1=0.00325767, r_fer1=0, r_aus2=0.00188178, r_fer2=0
 2960: t=0.148, cavg*=0.996394, r_mart=0.145909, r_aus1=0.00325809, r_fer1=0, r_aus2=0.00188541, r_fer2=0
 2980: t=0.149, cavg*=0.996384, r_mart=0.145909, r_aus1=0.0032585, r_fer1=0, r_aus2=0.00188903, r_fer2=0
 3000: t=0.150, cavg*=0.996374, r_mart=0.145908, r_aus1=0.00325891, r_fer1=0, r_aus2=0.00189263, r_fer2=0
