mart_FoFo_mu16e3.log @ arthur-ltf
2018-06-22T21:08:42

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 2198

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

  650: t=226.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  652: t=227.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  654: t=228.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  656: t=229.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  658: t=230.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  660: t=231.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  662: t=232.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  664: t=233.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  666: t=234.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  668: t=235.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  670: t=236.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  672: t=237.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  674: t=238.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  676: t=239.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  678: t=240.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  680: t=241.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  682: t=242.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  684: t=243.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  686: t=244.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  688: t=245.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  690: t=246.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  692: t=247.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  694: t=248.000, cavg*=1, r_mart=218.176, r_aust=1.57066
