coupled_FoFo_375_CCEpara.log @ arthur-tud
2019-07-15T12:37:32

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 74000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

23200: t=2.600, cavg*=1.013, r_mart=1.632, r_aus1=0.547706, r_fer1=0, r_aus2=0.0150624, r_fer2=0
23400: t=2.700, cavg*=1.01299, r_mart=1.63206, r_aus1=0.51835, r_fer1=0, r_aus2=0.0152394, r_fer2=0
23600: t=2.800, cavg*=1.01298, r_mart=1.6321, r_aus1=0.49256, r_fer1=0, r_aus2=0.015414, r_fer2=0
23800: t=2.900, cavg*=1.01297, r_mart=1.63214, r_aus1=0.469748, r_fer1=0, r_aus2=0.0155863, r_fer2=0
24000: t=3.000, cavg*=1.01296, r_mart=1.63218, r_aus1=0.449436, r_fer1=0, r_aus2=0.0157566, r_fer2=0
24200: t=3.100, cavg*=1.01295, r_mart=1.63222, r_aus1=0.431239, r_fer1=0, r_aus2=0.0159249, r_fer2=0
24400: t=3.200, cavg*=1.01293, r_mart=1.63225, r_aus1=0.414844, r_fer1=0, r_aus2=0.0160913, r_fer2=0
24600: t=3.300, cavg*=1.01292, r_mart=1.63228, r_aus1=0.399993, r_fer1=0, r_aus2=0.016256, r_fer2=0
24800: t=3.400, cavg*=1.0129, r_mart=1.6323, r_aus1=0.386474, r_fer1=0, r_aus2=0.0164189, r_fer2=0
25000: t=3.500, cavg*=1.01289, r_mart=1.63233, r_aus1=0.374113, r_fer1=0, r_aus2=0.0165803, r_fer2=0
25200: t=3.600, cavg*=1.01287, r_mart=1.63235, r_aus1=0.362762, r_fer1=0, r_aus2=0.0167402, r_fer2=0
25400: t=3.700, cavg*=1.01285, r_mart=1.63238, r_aus1=0.352299, r_fer1=0, r_aus2=0.0168986, r_fer2=0
25600: t=3.800, cavg*=1.01284, r_mart=1.6324, r_aus1=0.342619, r_fer1=0, r_aus2=0.0170558, r_fer2=0
25800: t=3.900, cavg*=1.01282, r_mart=1.63242, r_aus1=0.333634, r_fer1=0, r_aus2=0.0172117, r_fer2=0
26000: t=4.000, cavg*=1.0128, r_mart=1.63244, r_aus1=0.325269, r_fer1=0, r_aus2=0.0173665, r_fer2=0
26200: t=4.100, cavg*=1.01278, r_mart=1.63245, r_aus1=0.31746, r_fer1=0, r_aus2=0.0175202, r_fer2=0
26400: t=4.200, cavg*=1.01277, r_mart=1.63247, r_aus1=0.310149, r_fer1=0, r_aus2=0.017673, r_fer2=0
