coupled_FoFo_375_mu20e3.log @ arthur-tud
2019-07-15T12:50:35

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 38000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

 1900: t=0.950, cavg*=0.99843, r_mart=1.45479, r_aus1=0.0139942, r_fer1=0, r_aus2=0.0111176, r_fer2=0
 1920: t=0.960, cavg*=0.998427, r_mart=1.45481, r_aus1=0.0139974, r_fer1=0, r_aus2=0.011147, r_fer2=0
 1940: t=0.970, cavg*=0.998424, r_mart=1.45482, r_aus1=0.0140006, r_fer1=0, r_aus2=0.0111762, r_fer2=0
 1960: t=0.980, cavg*=0.99842, r_mart=1.45483, r_aus1=0.0140039, r_fer1=0, r_aus2=0.0112053, r_fer2=0
 1980: t=0.990, cavg*=0.998417, r_mart=1.45485, r_aus1=0.0140071, r_fer1=0, r_aus2=0.0112342, r_fer2=0
 2000: t=1.000, cavg*=0.998414, r_mart=1.45486, r_aus1=0.0140103, r_fer1=0, r_aus2=0.011263, r_fer2=0
 2020: t=1.010, cavg*=0.998411, r_mart=1.45487, r_aus1=0.0140135, r_fer1=0, r_aus2=0.0112916, r_fer2=0
 2040: t=1.020, cavg*=0.998408, r_mart=1.45489, r_aus1=0.0140167, r_fer1=0, r_aus2=0.0113201, r_fer2=0
 2060: t=1.030, cavg*=0.998405, r_mart=1.4549, r_aus1=0.0140198, r_fer1=0, r_aus2=0.0113485, r_fer2=0
 2080: t=1.040, cavg*=0.998402, r_mart=1.45491, r_aus1=0.014023, r_fer1=0, r_aus2=0.0113767, r_fer2=0
 2100: t=1.050, cavg*=0.998399, r_mart=1.45493, r_aus1=0.0140262, r_fer1=0, r_aus2=0.0114048, r_fer2=0
 2120: t=1.060, cavg*=0.998396, r_mart=1.45494, r_aus1=0.0140294, r_fer1=0, r_aus2=0.0114328, r_fer2=0
 2140: t=1.070, cavg*=0.998393, r_mart=1.45495, r_aus1=0.0140326, r_fer1=0, r_aus2=0.0114607, r_fer2=0
 2160: t=1.080, cavg*=0.99839, r_mart=1.45496, r_aus1=0.0140357, r_fer1=0, r_aus2=0.0114884, r_fer2=0
