t mart aust
2.050103e+01 9.658999e-05 5.977108e-02
2.055103e+01 9.650376e-05 5.977116e-02
2.060103e+01 9.641780e-05 5.977123e-02
2.065103e+01 9.633212e-05 5.977130e-02
2.070104e+01 9.624673e-05 5.977138e-02
2.075104e+01 9.616162e-05 5.977145e-02
2.080104e+01 9.607680e-05 5.977152e-02
2.085104e+01 9.599228e-05 5.977160e-02
2.090105e+01 9.590805e-05 5.977167e-02
2.095105e+01 9.582410e-05 5.977174e-02
2.100105e+01 9.574045e-05 5.977181e-02
2.105105e+01 9.565709e-05 5.977188e-02
2.110106e+01 9.557402e-05 5.977194e-02
2.115106e+01 9.549123e-05 5.977201e-02
2.120106e+01 9.540874e-05 5.977208e-02
2.125106e+01 9.532652e-05 5.977214e-02
2.130107e+01 9.524460e-05 5.977221e-02
2.135107e+01 9.516296e-05 5.977228e-02
2.140107e+01 9.508160e-05 5.977234e-02
2.145107e+01 9.500052e-05 5.977240e-02
2.150108e+01 9.491973e-05 5.977247e-02
2.155108e+01 9.483921e-05 5.977253e-02
2.160108e+01 9.475897e-05 5.977259e-02
2.165108e+01 9.467901e-05 5.977265e-02
2.170109e+01 9.459932e-05 5.977271e-02
2.175109e+01 9.451990e-05 5.977277e-02
2.180109e+01 9.444076e-05 5.977283e-02
2.185109e+01 9.436188e-05 5.977289e-02
2.190110e+01 9.428328e-05 5.977295e-02
2.195110e+01 9.420494e-05 5.977301e-02
2.200110e+01 9.412687e-05 5.977306e-02
2.205110e+01 9.404906e-05 5.977312e-02
2.210111e+01 9.397151e-05 5.977318e-02
2.215111e+01 9.389423e-05 5.977323e-02
2.220111e+01 9.381720e-05 5.977329e-02
2.225111e+01 9.374038e-05 5.977334e-02
2.230112e+01 9.366378e-05 5.977340e-02
2.235112e+01 9.358742e-05 5.977345e-02
2.240112e+01 9.351129e-05 5.977350e-02
2.245112e+01 9.343540e-05 5.977355e-02
2.250113e+01 9.335975e-05 5.977361e-02
2.255113e+01 9.328434e-05 5.977366e-02
2.260113e+01 9.320917e-05 5.977371e-02
2.265113e+01 9.313424e-05 5.977376e-02
2.270114e+01 9.305956e-05 5.977381e-02
2.275114e+01 9.298510e-05 5.977386e-02
2.280114e+01 9.291089e-05 5.977391e-02
2.285114e+01 9.283692e-05 5.977395e-02
2.290115e+01 9.276318e-05 5.977400e-02
2.295115e+01 9.268969e-05 5.977405e-02
2.300115e+01 9.261642e-05 5.977409e-02
2.305115e+01 9.254340e-05 5.977414e-02
