t mart aus1 fer1 aus2 fer2
1.095055e+00 3.072016e-02 3.748619e-02 3.224356e-05 3.632835e-02 3.223619e-05
1.100055e+00 3.071449e-02 3.749739e-02 3.225658e-05 3.633870e-02 3.224925e-05
1.105055e+00 3.070885e-02 3.750856e-02 3.226951e-05 3.634903e-02 3.226221e-05
1.110056e+00 3.070321e-02 3.751971e-02 3.228235e-05 3.635934e-02 3.227508e-05
1.115056e+00 3.069759e-02 3.753084e-02 3.229510e-05 3.636964e-02 3.228787e-05
1.120056e+00 3.069198e-02 3.754194e-02 3.230776e-05 3.637993e-02 3.230057e-05
1.125056e+00 3.068638e-02 3.755303e-02 3.232035e-05 3.639020e-02 3.231318e-05
1.130057e+00 3.068079e-02 3.756410e-02 3.233284e-05 3.640045e-02 3.232571e-05
1.135057e+00 3.067522e-02 3.757514e-02 3.234526e-05 3.641069e-02 3.233816e-05
1.140057e+00 3.066966e-02 3.758616e-02 3.235759e-05 3.642091e-02 3.235052e-05
1.145057e+00 3.066411e-02 3.759717e-02 3.236984e-05 3.643112e-02 3.236280e-05
1.150058e+00 3.065858e-02 3.760815e-02 3.238200e-05 3.644131e-02 3.237499e-05
1.155058e+00 3.065305e-02 3.761911e-02 3.239409e-05 3.645149e-02 3.238711e-05
1.160058e+00 3.064754e-02 3.763005e-02 3.240610e-05 3.646165e-02 3.239915e-05
1.165058e+00 3.064204e-02 3.764098e-02 3.241803e-05 3.647180e-02 3.241111e-05
1.170059e+00 3.063655e-02 3.765188e-02 3.242989e-05 3.648193e-02 3.242300e-05
1.175059e+00 3.063108e-02 3.766276e-02 3.244167e-05 3.649205e-02 3.243480e-05
1.180059e+00 3.062561e-02 3.767362e-02 3.245337e-05 3.650215e-02 3.244653e-05
1.185059e+00 3.062016e-02 3.768447e-02 3.246500e-05 3.651224e-02 3.245819e-05
1.190060e+00 3.061472e-02 3.769529e-02 3.247655e-05 3.652231e-02 3.246977e-05
1.195060e+00 3.060929e-02 3.770609e-02 3.248803e-05 3.653237e-02 3.248128e-05
1.200060e+00 3.060387e-02 3.771688e-02 3.249944e-05 3.654242e-02 3.249272e-05
1.205060e+00 3.059846e-02 3.772764e-02 3.251078e-05 3.655245e-02 3.250408e-05
1.210061e+00 3.059306e-02 3.773839e-02 3.252205e-05 3.656247e-02 3.251537e-05
1.215061e+00 3.058768e-02 3.774912e-02 3.253324e-05 3.657247e-02 3.252659e-05
1.220061e+00 3.058230e-02 3.775983e-02 3.254437e-05 3.658246e-02 3.253775e-05
1.225061e+00 3.057694e-02 3.777052e-02 3.255543e-05 3.659243e-02 3.254883e-05
1.230062e+00 3.057159e-02 3.778119e-02 3.256642e-05 3.660239e-02 3.255985e-05
1.235062e+00 3.056625e-02 3.779184e-02 3.257735e-05 3.661234e-02 3.257080e-05
1.240062e+00 3.056092e-02 3.780248e-02 3.258821e-05 3.662228e-02 3.258168e-05
1.245062e+00 3.055560e-02 3.781310e-02 3.259900e-05 3.663220e-02 3.259250e-05
1.250063e+00 3.055029e-02 3.782369e-02 3.260973e-05 3.664211e-02 3.260325e-05
1.255063e+00 3.054499e-02 3.783428e-02 3.262039e-05 3.665200e-02 3.261393e-05
1.260063e+00 3.053971e-02 3.784484e-02 3.263099e-05 3.666188e-02 3.262455e-05
1.265063e+00 3.053443e-02 3.785538e-02 3.264152e-05 3.667175e-02 3.263511e-05
1.270064e+00 3.052916e-02 3.786591e-02 3.265200e-05 3.668160e-02 3.264561e-05
1.275064e+00 3.052391e-02 3.787642e-02 3.266241e-05 3.669145e-02 3.265604e-05
1.280064e+00 3.051866e-02 3.788691e-02 3.267276e-05 3.670127e-02 3.266642e-05
1.285064e+00 3.051342e-02 3.789739e-02 3.268305e-05 3.671109e-02 3.267673e-05
1.290065e+00 3.050820e-02 3.790785e-02 3.269328e-05 3.672089e-02 3.268698e-05
1.295065e+00 3.050298e-02 3.791829e-02 3.270345e-05 3.673068e-02 3.269717e-05
1.300065e+00 3.049778e-02 3.792871e-02 3.271356e-05 3.674046e-02 3.270730e-05
1.305065e+00 3.049258e-02 3.793912e-02 3.272362e-05 3.675023e-02 3.271738e-05
1.310066e+00 3.048740e-02 3.794951e-02 3.273361e-05 3.675998e-02 3.272740e-05
1.315066e+00 3.048223e-02 3.795988e-02 3.274355e-05 3.676972e-02 3.273735e-05
1.320066e+00 3.047706e-02 3.797024e-02 3.275344e-05 3.677945e-02 3.274726e-05
1.325066e+00 3.047190e-02 3.798058e-02 3.276326e-05 3.678916e-02 3.275710e-05
1.330067e+00 3.046676e-02 3.799090e-02 3.277303e-05 3.679886e-02 3.276689e-05
1.335067e+00 3.046162e-02 3.800121e-02 3.278275e-05 3.680856e-02 3.277663e-05
1.340067e+00 3.045650e-02 3.801150e-02 3.279241e-05 3.681823e-02 3.278631e-05
1.345067e+00 3.045138e-02 3.802177e-02 3.280202e-05 3.682790e-02 3.279594e-05
1.350068e+00 3.044627e-02 3.803203e-02 3.281157e-05 3.683756e-02 3.280551e-05
1.355068e+00 3.044118e-02 3.804227e-02 3.282107e-05 3.684720e-02 3.281503e-05
1.360068e+00 3.043609e-02 3.805250e-02 3.283052e-05 3.685683e-02 3.282449e-05
1.365068e+00 3.043101e-02 3.806271e-02 3.283991e-05 3.686645e-02 3.283391e-05
1.370069e+00 3.042594e-02 3.807290e-02 3.284921e-05 3.687606e-02 3.284326e-05
1.375069e+00 3.042088e-02 3.808308e-02 3.285845e-05 3.688565e-02 3.285253e-05
