t mart aust
2.091046e-01 1.386521e-02 4.658859e-02
2.096048e-01 1.384313e-02 4.660524e-02
2.101051e-01 1.382110e-02 4.662187e-02
2.106053e-01 1.379910e-02 4.663847e-02
2.111056e-01 1.377714e-02 4.665504e-02
2.116058e-01 1.375522e-02 4.667160e-02
2.121061e-01 1.373333e-02 4.668813e-02
2.126063e-01 1.371148e-02 4.670464e-02
2.131066e-01 1.368967e-02 4.672113e-02
2.136068e-01 1.366790e-02 4.673759e-02
2.141071e-01 1.364616e-02 4.675402e-02
2.146073e-01 1.362446e-02 4.677043e-02
2.151076e-01 1.360280e-02 4.678681e-02
2.156078e-01 1.358117e-02 4.680315e-02
2.161081e-01 1.355958e-02 4.681947e-02
2.166083e-01 1.353803e-02 4.683576e-02
2.171086e-01 1.351651e-02 4.685202e-02
2.176088e-01 1.349503e-02 4.686826e-02
2.181091e-01 1.347359e-02 4.688447e-02
2.186093e-01 1.345219e-02 4.690065e-02
2.191096e-01 1.343082e-02 4.691681e-02
2.196098e-01 1.340948e-02 4.693295e-02
2.201101e-01 1.338819e-02 4.694907e-02
2.206103e-01 1.336692e-02 4.696517e-02
2.211106e-01 1.334570e-02 4.698124e-02
2.216108e-01 1.332451e-02 4.699728e-02
2.221111e-01 1.330336e-02 4.701331e-02
2.226113e-01 1.328224e-02 4.702930e-02
2.231116e-01 1.326116e-02 4.704527e-02
2.236118e-01 1.324011e-02 4.706121e-02
2.241121e-01 1.321910e-02 4.707712e-02
2.246123e-01 1.319813e-02 4.709300e-02
2.251126e-01 1.317719e-02 4.710886e-02
2.256128e-01 1.315629e-02 4.712469e-02
2.261131e-01 1.313542e-02 4.714049e-02
2.266133e-01 1.311459e-02 4.715627e-02
2.271136e-01 1.309379e-02 4.717203e-02
2.276138e-01 1.307303e-02 4.718777e-02
2.281141e-01 1.305230e-02 4.720348e-02
2.286143e-01 1.303161e-02 4.721918e-02
2.291146e-01 1.301095e-02 4.723485e-02
2.296148e-01 1.299033e-02 4.725049e-02
2.301151e-01 1.296974e-02 4.726611e-02
2.306153e-01 1.294919e-02 4.728171e-02
2.311156e-01 1.292867e-02 4.729728e-02
2.316158e-01 1.290818e-02 4.731282e-02
2.321161e-01 1.288773e-02 4.732834e-02
2.326163e-01 1.286732e-02 4.734383e-02
2.331166e-01 1.284694e-02 4.735929e-02
2.336168e-01 1.282659e-02 4.737473e-02
2.341171e-01 1.280628e-02 4.739015e-02
2.346173e-01 1.278600e-02 4.740554e-02
2.351176e-01 1.276576e-02 4.742090e-02
2.356178e-01 1.274555e-02 4.743625e-02
2.361181e-01 1.272538e-02 4.745157e-02
2.366183e-01 1.270523e-02 4.746687e-02
2.371186e-01 1.268513e-02 4.748215e-02
2.376188e-01 1.266505e-02 4.749741e-02
2.381191e-01 1.264501e-02 4.751264e-02
2.386193e-01 1.262501e-02 4.752785e-02
2.391196e-01 1.260503e-02 4.754303e-02
2.396198e-01 1.258510e-02 4.755819e-02
2.401201e-01 1.256519e-02 4.757333e-02
2.406203e-01 1.254532e-02 4.758844e-02
2.411206e-01 1.252548e-02 4.760352e-02
2.416208e-01 1.250567e-02 4.761858e-02
2.421211e-01 1.248590e-02 4.763361e-02
2.426213e-01 1.246616e-02 4.764862e-02
2.431216e-01 1.244646e-02 4.766360e-02
2.436218e-01 1.242678e-02 4.767857e-02
2.441221e-01 1.240714e-02 4.769351e-02
2.446223e-01 1.238754e-02 4.770843e-02
2.451226e-01 1.236796e-02 4.772333e-02
2.456228e-01 1.234842e-02 4.773821e-02
2.461231e-01 1.232891e-02 4.775306e-02
2.466233e-01 1.230944e-02 4.776790e-02
2.471236e-01 1.228999e-02 4.778271e-02
2.476238e-01 1.227058e-02 4.779749e-02
2.481241e-01 1.225121e-02 4.781225e-02
2.486243e-01 1.223186e-02 4.782699e-02
2.491246e-01 1.221255e-02 4.784170e-02
2.496248e-01 1.219327e-02 4.785639e-02
2.501251e-01 1.217402e-02 4.787106e-02
2.506253e-01 1.215480e-02 4.788570e-02
2.511256e-01 1.213562e-02 4.790031e-02
2.516258e-01 1.211646e-02 4.791491e-02
2.521261e-01 1.209734e-02 4.792948e-02
2.526263e-01 1.207826e-02 4.794403e-02
2.531266e-01 1.205920e-02 4.795856e-02
2.536268e-01 1.204018e-02 4.797307e-02
2.541271e-01 1.202118e-02 4.798755e-02
2.546273e-01 1.200222e-02 4.800202e-02
2.551276e-01 1.198329e-02 4.801647e-02
2.556278e-01 1.196439e-02 4.803089e-02
2.561281e-01 1.194553e-02 4.804529e-02
